String,es,en,fr,jp,hi
_LANGUAGE_NAME_,Español,English,,,हिन्दी
_COMENZAR_,Jugar demo,Start,,,डेमो खेलें
_EL_MAZO_,Mazo,Deck,,,डेक
_ABRIR_SOBRES_,Abrir sobres (%s),Open booster packs (%s),,,बूस्टर पैक खोलें (%s)
_SIN_SOBRES_,Sin sobres,No booster packs,,,कोई बूस्टर पैक नहीं
_OPCIONES_,Opciones,Options,,,विकल्प
_CREDITOS_,Créditos,Credits,,,क्रेडिट्स
_SALIR_,Salir,Exit,,,बाहर निकलें
_CONTINUAR_,Continuar,Continue,,,जारी रखें
_SONIDO_GENERAL_,General,Master,,,मुख्य ध्वनि
_SONIDO_MUSICA_,Música,Music,,,संगीत
_SONIDO_EFECTOS_,Efectos,SFX,,,ध्वनि प्रभाव
_DESTRUIR_MAZO_,Destruir Mazo,Destroy deck,,,डेक नष्ट करें
_SEGURO_DESTRUIR_MAZO_,¿Seguro querés destruir\nel mazo completo\ny reiniciar el progreso?,¿Are you sure \nyou want to destroy the deck \nand reset your progress?,,,क्या आप सच में\nपूरा डेक नष्ट करना\nऔर अपनी प्रगति रीसेट करना चाहते हैं?
_MAZO_DE_TESTING_,Mazo de testing,Testing deck,,,टेस्टिंग डेक
_MENU_PRINCIPAL_,Menú principal,Main menu,,,मुख्य मेनू
_ABRIENDO_SOBRE_,Abriendo,Opening,,,खोला जा रहा है
_EL_SOBRE_,El sobrecito,Booster pack,,,बूस्टर पैक
_AGREGAR_AL_MAZO_,Agregar al mazo,Add to deck,,,डेक में जोड़ें
_DESCARTAR_CARTA_NUEVA_,Descartar,Drop card,,,कार्ड छोड़ें
_PRE_TITLE_1_,Hace mucho mucho tiempo...\nEn una galaxia muy muy lejana...\n\n¡Ah no! ¡Pará!\nEse es otro imperio malvado...\n\nBuenos Aires\nAño 1807\n\nLos ingleses atacan por última vez.\nLiniers y los patricios\ndefienden la plaza.,"A long time ago...\nIn a galaxy far, far away...\nWait..\nThat's another evil empire!\n\nBuenos Aires, 1807\n\nEnglish army attacks for the last time.\nLiniers and the Patricios\nDefend the square",,,"बहुत समय पहले...\nएक बहुत, बहुत दूर की आकाशगंगा में...\nरुको...\nवह तो दूसरा दुष्ट साम्राज्य था!\n\nब्यूनस आयर्स, 1807\n\nअंग्रेज़ी सेना आखिरी बार हमला करती है।\nलिनियर्स और पैट्रीसियोस\nचौक की रक्षा करते हैं"
_PRE_TITLE_2_,Y pensar que años después\nTodos bailariamos al ritmo de...\n\nEL MENEAITO\n\n¡Ahí!\n¡Ahí!\n¡Ahí!,There's a funny joke here\n  in the Spanish version of this game.\n You wouldn't get it.,,,यहाँ इस गेम के स्पैनिश संस्करण में\nएक मजेदार चुटकुला है।\nतुम्हें समझ नहीं आएगा।
_PRE_TITLE_3_,"Bueno...\nAcá vamos de nuevo.\nVos, Liniers y la plaza.\n\n¡¡Ya detén a esos malditos ingleses!!","Well...\nHere we go again.\nYou, Liniers, and the Plaza\n\n Just stop those damned Brits!",,,"अच्छा...\nफिर से शुरू करते हैं।\nतुम, लिनियर्स और प्लाज़ा\n\nबस उन कमबख़्त अंग्रेज़ों को रोक दो!"
_PRE_TITLE_4_,Ehm...\n\nEsto se va a poner feo.,Ehm...\n\nThis is gonna get ugly.,,,अह्म...\n\nअब मामला बिगड़ने वाला है।
_PRE_TITLE_5_,A ver si en esta run\nte esforzas un poquito más\nque te faltaba un toque...,Let's see\n if you make an effort\n this time.,,,देखते हैं\nइस बार तुम थोड़ी\nमेहनत करते हो या नहीं।
_PRE_TITLE_6_,Mirá que este juego no es difícil.\nAguantá 10 minutos\nsin que entren los ingleses.\n\n¿Ta?,This shouldn't be so hard.\nResist for 10 minutes\nwithout the Brits getting it.\n\nGot it?,,,यह इतना मुश्किल नहीं होना चाहिए।\n10 मिनट तक डटे रहो\nताकि ब्रिट्स अंदर न घुसें।\n\nसमझे?
_PRE_TITLE_7_,"Habia un truquito para ganar.\nAlgo de unos tiros...\nQue se yo, tengo la cabeza en Marte",There's gotta be a way to cheat\nSomething about gunning Mars\nIDK Frigging Annoying,,,"जीतने का कोई न कोई चीट तरीका होगा।\nकुछ गोलियों वाली बात...\nपता नहीं, मेरा दिमाग मंगल पर है।"
_PRE_TITLE_8_,"Si soltás el celu un rato,\nlo ganas al toque roque papurri!",Still not winning?\n Just get off those damned phones!,,,अभी भी नहीं जीत रहे?\nबस उन धत् फोन से थोड़ा दूर हो जाओ!
_PRE_TITLE_9_,Y todo el mundo haciendo..\n¡Palmas!\n¡Palmas!\n¡Palmas!,If ye had a chance ta shoot the english\nWoodja?,,,अगर तुम्हें अंग्रेज़ों पर गोली चलाने का मौका मिले\nतो चलाओगे?
_PRE_TITLE_10_,¿Qué vamos a hacer?\nA gederr...\n\nDigo...\nDefender la plaza.\nDefender la plaza.¿SI?,We don't do tea and buiscuits\nShow them the strength of alfajores and mate!,,,हम चाय और बिस्किट नहीं खाते।\nउन्हें अल्फाहोरेस और माते की ताकत दिखाओ!
_PRE_TITLE_11_,"Dos de jamon,\nuna de humita,\ndos de humita,\nuna de jamon..",Plenty of big irons here\nUse them well\nKick these invaders out from our town!,,,यहाँ बहुत सारी बड़ी बंदूकें हैं।\nइनका अच्छी तरह इस्तेमाल करो।\nइन आक्रमणकारियों को हमारे शहर से निकाल बाहर करो!
_PRE_TITLE_12_,Che patriciooooos....\nLa ***** de su madre...\nA ver si ponen huevo\nQue no matan a nadieeeee!!!,D-fence! D-fence! D-fence!,,,र-क्षा! र-क्षा! र-क्षा!
_PATRICIO_,Patricio,Patricio,,,पैट्रीसियो
